"dataset_name";"cd_nom";"nom_cite";"the_geom_local";"date_min";"observers"
ATBI Mercantour;121356;Cinclus cinclus;POINT (1057793.8019000294 6333282.944455306);2019-10-27 00:00:00.000;DEFFARGES Joss
ATBI Mercantour;121356;Pieris napi;POINT (1057793.8019000294 6333282.944455306);2020-03-14 00:00:00.000;DEFFARGES Joss
ATBI Mercantour;121356;Helix pomatia;POINT (1057852.7709746999 6333289.838474354);2020-04-06 00:00:00.000;DEFFARGES Joss
ATBI Mercantour;121356;Iphiclides podalirius;POINT (1057793.8019000294 6333282.944455306);2020-04-17 00:00:00.000;DEFFARGES Joss
ATBI Mercantour;121356;Leptidea sinapis;POINT (1057793.8019000294 6333282.944455306);2020-05-02 00:00:00.000;DEFFARGES Joss
Données PNM - Valdeblore 2022;106344;Linum suffruticosum;POINT (1034848.2383826171 6342274.729464188);2022-07-02 00:00:00.000;MARTIN-DHERMONT Laurent
Données PNM - Valdeblore 2022;106344;Linum suffruticosum;POINT (1037731.8895670914 6339964.08193973);2022-07-03 00:00:00.000;RAUZIER Adèle, MARTIN-DHERMONT Laurent
GaranceVoyageuse - ExplNat2021;106344;Linum suffruticosum L., 1753;POINT (991112.0750899967 6352495.775939222);2021-07-02 00:00:00.000;Françoise DUMAS
Ilforalhp - ATBI;106344;Linum suffruticosum L., 1753;POINT (995505.6427847794 6351173.708188303);2020-06-27 00:00:00.000;MICHEL Laurent, FOUCAUT Laurence
INPN - CardObs;51501;Charagochilus gyllenhali;POINT (1010058.6240466408 6361638.337247111);2009-09-22 00:00:00.000;relevé par un personnel du PNM (ATBI faune terrestre) (Non renseigné)
INPN - CardObs;51501;Charagochilus gyllenhali;POINT (1043149.7716002152 6344359.303545097);2009-10-05 00:00:00.000;relevé par un personnel du PNM (ATBI faune terrestre) (Non renseigné)
INPN - CardObs;55527;Chaenotheca phaeocephala;POINT (1056904.1527458164 6329704.370855662);2011-04-22 00:00:00.000;O. Bricaud (AFL)
INPN - CardObs;55527;Chaenotheca phaeocephala;POINT (1057758.7533643532 6327382.12591123);2011-05-25 00:00:00.000;C. Bauvet (AFL)
INPN - CardObs;57234;Clauzadea immersa;POINT (989104.1190520395 6346519.60563941);2010-07-25 00:00:00.000;M. Bertrand et C. Roux (AFL)
